,Cities,Latitude,Longitude,Temperature (F),Cloudiness (%),Wind Speed (mph),Humidity (%)
117,barrow,-38.31,-60.23,39.63,76,3.04,96
118,tessalit,20.2,1.01,75.63,0,2.71,22
120,kodiak,39.95,-94.76,80.6,1,6.93,57
121,yellowknife,62.45,-114.38,68,90,9.17,49
122,san patricio,-26.98,-56.83,53.94,92,6.96,78
126,imeni poliny osipenko,52.42,136.49,74.37,76,3.71,78
128,leshukonskoye,64.9,45.76,62.31,12,6.4,75
131,chiredzi,-21.05,31.67,60.6,48,9.53,91
132,ambon,47.55,-2.56,68,0,10.29,68
133,cockburn town,21.46,-71.14,82.2,0,20.04,97
135,grindavik,63.84,-22.43,47.5,75,18.34,93
137,chambas,22.19,-78.91,84.2,20,9.17,74
138,pevek,69.7,170.27,36.03,0,17.81,91
139,kilingi-nomme,58.15,24.96,62.4,80,3.27,87
141,port blair,11.67,92.75,81.48,76,19.71,100
142,ternate,14.29,120.72,87.8,75,6.93,74
144,khatanga,71.98,102.47,60.6,12,6.85,71
145,pacific grove,36.62,-121.92,72.21,1,5.82,37
146,cape town,-33.93,18.42,57.2,0,1.12,54
147,nur,52.67,22.32,52.23,0,3.04,87
148,meadow lake,54.13,-108.44,64.65,0,6.17,49
149,faanui,-16.48,-151.75,77.34,92,6.4,100
152,praya,-8.71,116.27,86,20,12.75,58
155,port alfred,-33.59,26.89,59.34,0,10.65,98
158,dongsheng,29.72,112.52,83.01,88,3.71,95
159,price,39.6,-110.81,84.2,1,13.87,23
161,nizwa,22.93,57.53,81.75,12,2.26,29
162,port hedland,-20.31,118.58,77,0,18.34,22
163,tasiilaq,65.61,-37.64,42.8,92,24.16,75
169,muisne,0.61,-80.02,72.39,44,4.61,95
170,ivanovka,42.89,75.08,69.6,0,2.04,28
175,saint-philippe,45.36,-73.48,72.61,1,12.1,77
176,salta,-24.79,-65.41,45.66,90,2.24,75
178,katsuura,33.93,134.5,84.2,75,14.99,70
180,batticaloa,7.71,81.69,84.63,68,18.7,88
181,uptar,59.75,150.92,78.8,12,11.18,50
182,east london,-33.02,27.91,66.18,0,18.48,100
185,birin,35.01,36.67,58.53,0,3.71,80
186,mahebourg,-20.41,57.7,71.6,40,11.41,68
187,yokadouma,3.52,15.05,68.88,76,0.58,97
188,jardim,-21.48,-56.15,57.54,92,14.23,85
189,sao miguel do iguacu,-25.35,-54.24,50.58,90,2.24,93
190,castelnau-le-lez,43.64,3.91,72.81,0,6.93,49
191,diamantino,-14.4,-56.44,67.89,0,5.73,64
194,ancud,-41.87,-73.83,34.23,0,4.05,81
195,tuktoyaktuk,69.44,-133.03,41,90,8.05,86
196,ribeira grande,38.52,-28.7,69.87,76,8.19,100
198,castro,-42.48,-73.76,32.88,0,3.6,98
199,roebourne,-20.77,117.15,74.64,0,13.11,18
202,caravelas,-17.73,-39.27,76.8,0,12.66,100
204,saldanha,41.42,-6.55,62.13,0,6.17,80
205,marienburg,52.12,9.98,52.79,40,3.36,93
206,waipawa,-39.94,176.59,54.39,80,14.12,79
207,san felipe,-32.75,-70.73,48.2,0,5.39,81
210,lata,30.78,78.62,66.36,44,1.14,98
211,ust-maya,60.42,134.54,84,8,3.71,53
212,taoudenni,22.68,-3.98,74.19,0,3.27,16
213,vila velha,-3.71,-38.6,78.8,75,3.36,88
214,alta floresta,-9.87,-56.08,83.64,76,3.38,47
217,goderich,43.74,-81.71,70.5,0,14,51
218,georgetown,6.8,-58.16,77,20,2.24,94
221,kahului,20.89,-156.47,82,40,17.22,65
226,vallenar,-28.58,-70.76,40.62,0,2.37,55
232,nishihara,35.74,139.53,85.89,40,11.41,66
235,chenzhou,25.81,113.03,83.1,32,4.05,99
236,north platte,41.12,-100.77,78.8,1,8.05,61
237,plomarion,38.98,26.37,77,20,4.94,61
238,butaritari,3.07,172.79,82.83,32,8.97,100
245,poum,41.28,20.71,55.4,40,6.93,87
248,saskylakh,71.97,114.09,55.2,8,10.65,91
252,obidos,39.36,-9.16,65.28,90,5.82,93
259,eureka,40.8,-124.16,58.06,90,10.29,82
260,benalla,-36.55,145.99,55.4,75,8.05,62
262,karlovo,42.64,24.8,66.2,20,10.29,82
263,parchim,53.43,11.85,57.2,20,9.17,87
264,dzilam gonzalez,21.28,-88.93,77.88,8,5.28,84
265,maniitsoq,65.42,-52.9,37.83,0,3.83,79
266,luderitz,-26.65,15.16,61.59,0,7.96,58
269,mareeba,-16.99,145.42,73.4,0,19.46,43
271,hilo,19.71,-155.08,70.88,75,11.41,69
272,flinders,-34.58,150.85,59,0,11.41,60
274,maniwaki,46.38,-75.98,71.31,12,7.63,43
275,bat khela,34.62,71.97,85.62,0,1.36,30
280,yulara,-25.24,130.99,59,0,17.22,33
281,new norfolk,-42.78,147.06,53.6,20,14.99,50
282,atambua,-9.11,124.89,82.56,0,10.42,78
283,provideniya,64.42,-173.23,48.2,75,17.9,61
284,guerrero negro,27.97,-114.04,76.89,0,6.96,45
287,geraldton,49.72,-86.95,69.8,75,9.17,77
290,lebu,8.96,38.73,46.38,56,2.59,93
292,tiksi,71.64,128.87,43.68,64,4.16,99
294,lompoc,34.64,-120.46,73.67,1,8.05,32
295,lavrentiya,65.58,-170.99,41.88,68,31.34,96
297,puerto el triunfo,13.27,-88.55,80.6,0,3.36,78
299,los llanos de aridane,28.66,-17.92,69.8,68,11.41,77
300,hit,33.64,42.83,76.71,0,2.82,23
301,toora-khem,52.47,96.11,52.41,64,3.94,63
302,qaanaaq,77.48,-69.36,35.85,44,9.75,85
305,birjand,32.86,59.22,75.2,0,4.7,15
309,akureyri,65.68,-18.09,55.4,75,17.22,62
310,camacha,33.08,-16.33,69.01,40,9.17,82
311,cururupu,-1.82,-44.87,73.83,0,5.5,96
312,hirara,24.8,125.28,85.12,40,12.75,79
314,airai,-8.93,125.41,78.51,20,2.48,50
315,tucuman,-17.17,-70.89,47.73,0,1.36,72
318,deniliquin,-35.53,144.96,55.11,0,11.54,81
322,upernavik,72.79,-56.15,32.16,76,9.19,100
325,bar harbor,44.39,-68.2,67.08,1,6.93,72
326,aksarka,66.56,67.8,62.49,0,14.34,62
328,artyom,43.36,132.19,64.4,40,15.66,68
329,davis,38.55,-121.74,89.64,1,4.7,33
331,kavaratti,10.57,72.64,80.58,56,23.29,100
332,souillac,45.6,-0.6,66.02,0,2.24,72
333,punta alta,-27.46,-55.82,51.8,90,14.99,93
336,saint-augustin,44.83,-0.61,67.82,0,3.36,77
337,baykit,61.68,96.39,60.96,0,6.17,67
341,boysun,38.2,67.2,78.78,0,1.92,21
344,longyearbyen,78.22,15.63,42.8,75,12.75,81
345,kindersley,51.47,-109.16,71.6,20,4.7,53
347,port elizabeth,39.31,-74.98,63.88,1,6.29,82
350,umarkot,25.37,69.74,85.98,0,12.55,71
353,micheweni,-4.97,39.83,77.07,64,19.71,100
355,hobyo,5.35,48.53,76.17,8,22.06,80
359,springdale,36.19,-94.13,79.12,1,3.36,74
360,nanortalik,60.14,-45.24,37.11,68,17.36,94
361,ariquemes,-9.91,-63.03,78.69,0,3.71,44
362,husavik,50.56,-96.99,72.48,0,11.77,57
363,codajas,-3.84,-62.06,81.03,36,3.71,74
369,alice springs,-23.7,133.88,57.2,0,11.41,35
370,rio claro,-22.41,-47.56,55.4,0,2.24,76
371,pasni,25.26,63.48,84.36,44,5.28,99
373,kiunga,-6.12,141.3,74.01,68,1.7,96
374,hithadhoo,-0.6,73.08,82.38,88,16.02,100
381,necochea,-38.55,-58.74,42.42,92,3.15,99
387,hambantota,6.12,81.12,79.32,76,16.58,100
392,kavieng,-2.57,150.8,81.21,80,2.71,100
394,barra,-11.09,-43.14,71.4,12,10.65,72
396,aklavik,68.22,-135.01,59,90,3.36,67
397,neubrandenburg,53.56,13.26,63.21,68,11.1,69
399,port macquarie,-31.43,152.91,62.6,0,10.29,42
401,bredasdorp,-34.53,20.04,50,0,11.41,61
402,sur,22.57,59.53,88.41,0,5.39,83
404,zemst,50.98,4.47,56.77,0,3.36,76
405,chernyshevskiy,63.01,112.47,51.06,88,7.4,89
410,chapais,49.78,-74.86,66.2,90,8.05,93
413,port hardy,50.7,-127.42,64.4,40,9.17,77
417,ushtobe,45.25,77.98,87.6,0,4.83,26
418,el cope,8.69,-82.32,80.6,0,3.36,83
419,esperance,10.24,-61.45,78.8,20,6.93,88
421,jacarau,-6.61,-35.29,73.2,36,10.54,77
425,oranjemund,-28.55,16.43,65.01,0,16.02,76
428,tuatapere,-46.13,167.69,45.3,92,19.71,100
429,zhaotong,27.34,103.71,66.72,92,3.15,96
431,kamenka,53.19,44.05,62.85,32,9.53,80
434,gwanda,-20.94,29,54.3,92,7.74,97
436,koratagere,13.52,77.24,71.6,75,10.29,100
440,ahipara,-35.17,173.16,55.11,32,27.87,100
442,alto parana,-23.13,-52.32,64.11,36,8.63,81
444,ponta delgada,37.73,-25.67,66.2,75,8.05,93
445,broome,52.47,1.45,59.36,12,2.93,87
449,kyenjojo,0.61,30.64,56.91,8,5.61,78
450,port pirie,-33.18,138.01,53.6,0,10.29,66
452,menongue,-14.66,17.68,50.88,0,5.17,69
454,fez,34.03,-5.02,68,0,4.7,68
456,kasongo,-4.43,26.67,73.11,0,4.38,42
459,naifaru,5.44,73.37,82.65,88,17.92,100
461,carnarvon,-30.97,22.13,28.02,0,4.61,63
462,clyde river,70.47,-68.59,41,1,2.24,86
463,namatanai,-3.66,152.44,83.37,64,7.4,100
464,chaihe,44.77,129.68,69.69,44,3.94,89
466,pangnirtung,66.15,-65.72,34.41,12,3.94,78
467,thompson,55.74,-97.86,62.6,75,12.75,51
468,encruzilhada do sul,-30.54,-52.52,52.86,92,14.45,97
471,victoria,5.28,115.24,87.12,75,3.36,84
478,doha,25.29,51.53,98.6,0,11.41,37
487,wanning,48.64,13.53,60.8,75,2.24,72
488,luau,-10.7,22.23,61.41,12,5.17,59
489,ilulissat,69.22,-51.1,37.4,0,2.93,86
490,chuy,-33.69,-53.46,52.41,100,18.48,96
492,severo-kurilsk,50.68,156.12,57.36,0,2.59,77
496,gadung,-7.32,112.63,82.4,20,13.87,65
500,arica,-18.48,-70.32,53.4,0,6.93,71
502,eunice,30.49,-92.42,77.16,75,4.72,94
504,nyurba,63.29,118.35,64.11,88,7.74,83
505,brae,60.4,-1.35,51.8,88,5.82,57
507,cavalcante,-13.79,-47.46,57.9,0,3.94,74
509,bandikui,27.05,76.58,95.52,0,4.16,49
510,broken hill,-31.97,141.45,54.84,32,10.54,69
512,lodja,-3.52,23.6,71.22,0,4.16,45
515,riyadh,24.63,46.72,86,0,4.7,13
517,petukhovo,55.06,67.89,74.28,80,11.65,79
523,davila,18.47,120.58,86,75,6.93,74
528,yamada,36.58,137.08,83.44,75,10.29,55
529,komsomolskiy,67.55,63.78,57,0,14,60
531,nome,30.04,-94.42,76.08,1,5.17,94
535,ponta do sol,-20.63,-46,54.3,0,2.59,78
538,hasaki,35.73,140.83,85.32,75,13.87,74
542,kidal,18.44,1.41,72.93,0,3.38,40
547,lander,42.83,-108.73,86.13,1,11.41,23
548,sivaki,52.63,126.75,60.24,92,8.97,100
552,tuy hoa,13.08,109.3,86.88,56,13.33,71
560,halifax,44.65,-63.58,60.8,40,9.17,77
564,bahia de caraquez,-0.6,-80.42,73.4,75,16.11,88
571,slave lake,55.28,-114.77,64.4,1,2.24,68
572,khash,28.22,61.21,72.12,0,2.37,19
573,coahuayana,18.62,-100.35,68.52,76,1.81,87
577,nantucket,41.28,-70.1,58.37,1,6.93,82
579,vila franca do campo,37.72,-25.43,66.2,75,8.05,93
584,ystad,55.43,13.82,58.15,0,5.82,82
585,sao jose da coroa grande,-8.9,-35.15,72.66,76,5.17,96
586,klaksvik,62.23,-6.59,50,92,5.82,93
588,kruisfontein,-34,24.73,55.47,0,4.61,86
591,uray,60.13,64.8,66,92,9.42,98
593,berlevag,70.86,29.09,50.34,36,2.93,84
595,deputatskiy,69.3,139.9,57,0,7.96,71
596,khudumelapye,-23.91,24.95,49.71,92,5.39,93
598,mount gambier,-37.83,140.78,54.3,92,4.38,94
602,kailua,21.39,-157.74,82.58,75,8.05,69
603,bambous virieux,-20.34,57.76,71.6,40,11.41,68
605,namibe,-15.19,12.15,67.53,12,5.5,100
612,narsaq,60.91,-46.05,42.8,76,11.41,81
613,medicine hat,50.04,-110.68,77,5,9.17,31
617,rocha,-34.48,-54.34,45.3,0,11.21,93
621,elizabeth city,36.3,-76.22,68.74,1,5.82,82
622,ghanzi,-21.7,21.65,48.99,92,7.96,99
625,bereda,43.27,-7.54,62.6,0,2.59,93
626,mosquera,4.71,-74.23,60.8,40,3.36,63
634,jalu,29.03,21.55,78.15,0,10.76,40
635,calvinia,-31.47,19.78,46.02,56,6.17,70
641,vao,59.1,26.19,61.86,80,5.06,84
644,beloha,-25.17,45.06,62.67,0,12.77,87
645,arraial do cabo,-22.97,-42.02,71.04,0,9.19,85
647,beyneu,45.32,55.19,81.84,0,5.95,38
648,kapit,2.02,112.94,83.01,20,1.48,81
654,klyuchi,52.25,79.17,71.13,0,8.41,58
655,sulangan,11.14,123.72,85.71,36,11.43,100
657,sobolevo,54.43,31.9,60.6,88,6.51,100
661,singaparna,-7.35,108.11,71.94,48,2.37,82
667,ambilobe,-13.19,49.05,63.75,8,7.85,82
668,coihueco,-36.63,-71.83,44.6,0,3.36,93
670,barcs,45.96,17.46,59.88,8,9.42,72
675,dubuque,42.5,-90.66,69.78,1,6.93,83
676,tivaouane,14.95,-16.81,74.91,0,6.51,95
686,mezen,65.85,44.24,55.56,8,5.17,79
694,bom jardim,-7.8,-35.59,68,40,6.93,94
697,katwa,23.64,88.13,80.4,92,11.21,100
702,bestobe,52.5,73.1,74.01,0,8.75,65
713,san cristobal,-0.39,-78.55,50,20,9.17,87
716,calvia,39.57,2.51,68,0,3.36,82
719,pandan,11.72,122.09,82.2,64,18.59,100
726,harper,30.3,-99.24,74.61,1,7.96,83
729,seymour,33.59,-99.26,81.57,56,13.67,62
731,coquimbo,-29.95,-71.34,53.6,90,2.15,87
733,cidreira,-30.17,-50.22,55.83,80,10.87,98
735,kalmunai,7.42,81.82,85.44,88,6.73,65
737,lorengau,-2.02,147.27,77.88,68,5.5,100
743,shenzhen,22.54,114.05,87.66,40,18.34,66
745,kiama,-34.67,150.86,59,0,11.41,60
746,paratinga,-12.69,-43.18,65.73,0,6.62,74
748,qaqortoq,60.72,-46.03,42.8,64,11.41,81
756,aksu,52.04,76.93,71.6,0,6.71,60
764,fairbanks,64.84,-147.72,65.64,20,5.82,55
769,freeport,26.54,-78.7,84.81,36,7.74,93
771,bontang,0.12,117.47,83.64,68,7.63,92
772,mecca,21.43,39.83,89.6,0,2.93,31
774,lloydminster,53.28,-110.01,64.4,20,5.82,63
779,sao felix do xingu,-6.64,-51.99,69.87,76,1.92,100
781,nuevitas,21.55,-77.27,78.8,12,10.29,83
790,iralaya,15,-83.23,80.94,76,10.87,88
795,half moon bay,37.46,-122.43,70.68,1,11.41,82
796,sitka,37.17,-99.65,83.82,0,11.65,41
797,markova,52.21,104.21,62.6,40,11.18,55
799,oktyabrskiy,55.61,37.97,57.72,0,8.95,87
801,moses lake,47.13,-119.28,86,1,4.7,16
803,swellendam,-34.02,20.44,50,0,11.41,61
806,gizo,31.8,34.94,76.08,40,3.36,78
807,surgut,61.25,73.4,71.6,0,8.95,78
813,badulla,6.99,81.06,75.99,100,6.62,75
817,kysyl-syr,63.9,122.77,70.95,56,6.51,53
819,dossor,47.52,52.98,80.13,8,6.73,50
821,bowen,-20.01,148.25,71.6,0,13.87,40
822,uvinza,-5.1,30.39,58.8,0,5.06,66
826,tarauaca,-8.16,-70.77,78.24,0,3.71,68
834,khani,41.96,42.96,71.6,40,2.24,94
835,fukuma,33.77,130.47,82.81,75,8.05,52
840,shubarkuduk,49.15,56.49,79.59,0,4.94,36
842,vardo,39.62,-77.74,66.81,1,2.37,77
844,kirakira,-10.46,161.92,81.84,76,19.6,100
845,faya,18.39,42.45,68.86,5,3.36,52
848,calabazar de sagua,22.65,-79.9,80.6,20,8.05,78
854,yining,29.04,114.56,84.54,24,3.38,77
855,kushima,31.5,131.29,81.59,75,9.17,88
858,dunedin,-45.87,170.5,41.34,88,9.98,95
860,mozarlandia,-14.74,-50.57,66.18,0,2.71,72
862,keti bandar,24.14,67.45,84.45,88,14.79,99
863,buraydah,26.33,43.97,93.2,0,4.7,23
868,kantunilkin,21.1,-87.49,82.4,40,4.7,78
869,vizinga,61.08,50.08,66.81,24,3.94,82
870,cayenne,4.94,-52.33,77,0,6.06,88
885,ipixuna,-1.76,-48.8,77,0,4.7,88
887,ende,-8.84,121.65,78.33,0,14.23,99
889,san quintin,17.54,120.52,86,75,6.93,74
891,clarence town,-32.59,151.78,62.6,0,11.41,39
893,trincomalee,8.58,81.23,82.11,88,18.7,73
900,ilhabela,-23.78,-45.36,73.11,64,2.71,93
901,bitkine,11.98,18.21,72.84,20,7.4,83
906,port-cartier,50.03,-66.88,53.6,90,4.7,93
907,champoton,19.35,-90.72,80.6,40,9.17,78
908,itarema,-2.92,-39.92,78.06,8,9.75,79
910,belyy yar,53.6,91.39,64.4,0,8.95,52
918,shimoda,34.7,138.93,78.69,75,3.36,83
919,payo,-3.75,103.64,89.67,0,6.17,46
920,kikwit,-5.04,18.82,64.2,0,4.5,72
921,villa carlos paz,-31.42,-64.5,42.8,75,4.7,81
924,longuenesse,50.74,2.25,60.85,0,4.27,82
925,doba,8.66,16.85,70.32,56,5.61,96
927,manjacaze,-24.71,33.88,62.31,88,3.6,97
928,manado,1.49,124.85,91.4,20,11.41,52
933,aquiraz,-3.9,-38.39,78.8,75,3.36,88
934,kosa,59.94,54.99,64.2,68,4.94,100
936,ewo,-0.88,14.81,67.71,8,5.06,79
943,sisophon,13.59,102.97,86.34,44,9.86,76
944,quepos,9.43,-84.16,73.4,20,11.41,69
945,grand haven,43.06,-86.23,68.72,1,9.19,77
946,vung tau,10.35,107.08,86,75,13.87,84
952,luoyang,34.66,112.42,75.54,92,4.94,95
957,natal,-5.81,-35.21,73.4,20,6.93,83
959,bela cruz,-3.05,-40.17,78.06,8,9.75,79
970,atar,20.52,-13.05,85.08,36,2.37,31
979,suoyarvi,62.08,32.35,57.36,76,6.96,81
982,floro,61.6,5.03,50,92,4.7,93
983,la asuncion,-1.64,-78.74,40.08,36,1.81,99
1010,westport,53.8,-9.52,56.55,68,3.71,99
1015,olinda,-2.03,-79.75,77,40,4.7,69
1017,batagay,67.65,134.64,67.71,0,11.99,73
1020,nelson bay,-32.72,152.14,62.6,0,11.41,39
1023,peniche,39.36,-9.38,65.3,90,5.82,93
1033,guane,22.2,-84.09,81.3,76,6.06,78
1037,gardenstown,57.67,-2.34,54.52,90,4.7,81
1039,newport,51.59,-3,65.5,0,11.41,72
1040,tra vinh,9.93,106.35,83.64,76,11.54,87
1042,khasan,42.43,130.64,60.51,92,6.4,100
1045,hay river,60.82,-115.79,68,75,6.93,60
1054,conde,-11.81,-37.61,74.1,80,6.96,90
1058,tabou,4.42,-7.36,78.78,88,11.65,100
1059,margate,-43.03,147.26,53.6,20,14.99,50
1067,changji,32.07,116.17,89.58,24,4.61,89
1069,jacqueville,5.21,-4.42,77,75,6.93,94
1071,manokwari,-0.87,134.08,82.2,92,3.71,100
1072,salto,-31.39,-57.96,50.52,0,14,92
1074,comodoro rivadavia,-45.87,-67.48,41,0,5.82,100
1077,tilichiki,60.47,166.1,66.45,12,10.42,71
1079,college,64.86,-147.8,65.64,20,5.82,55
1084,palmer,-34.85,139.16,57.2,75,8.05,58
1085,karratha,-20.74,116.85,74.64,0,13.11,18
1088,maramba,-2.58,120.81,73.56,12,1.92,73
1093,talakan,50.29,130.28,63.84,100,8.63,92
1099,pingliang,35.54,106.68,64.74,92,3.38,100
1100,skibbereen,51.55,-9.27,57.2,20,11.41,100
1103,balsas,-7.53,-46.04,71.94,0,4.83,52
1109,sioux lookout,50.1,-91.92,65.43,40,5.82,77
1111,boyolangu,-8.09,111.9,81.93,0,8.3,58
1114,isangel,-19.55,169.27,76.08,48,7.4,95
1115,pullman,46.73,-117.17,84.4,1,3.36,49
1116,liverpool,53.41,-2.98,61.48,0,8.05,93
1117,nemuro,43.32,145.57,59,75,4.7,82
1118,ixtapa,20.71,-105.21,71.6,90,6.93,100
1120,damietta,31.42,31.81,78.8,0,3.36,88
1122,champerico,16.38,-93.6,80.6,75,11.41,65
1123,foz,43.57,-7.26,68.16,8,11.65,95
1129,kaka,37.35,59.62,80.04,0,1.81,41
1132,puerto colombia,10.99,-74.96,82.4,40,14.99,74
1135,port augusta,-32.49,137.76,53.6,0,10.29,66
1147,prieska,-29.67,22.74,34.23,20,3.04,77
1151,shingu,33.72,135.99,82.4,40,6.93,78
1153,atasu,48.68,71.64,82.38,8,4.72,47
1156,dicabisagan,17.08,122.42,81.84,68,3.6,100
1157,dubno,50.42,25.75,58.98,12,4.16,84
1162,beringovskiy,63.05,179.32,48.18,0,18.25,100
1165,dire dawa,9.59,41.86,73.4,40,12.75,56
1171,fort nelson,58.81,-122.69,77,40,2.24,44
1172,limbang,4.75,115.01,86.92,75,3.36,84
1173,lagoa,37.14,-8.45,69.8,0,3.36,68
1179,coolum beach,-26.53,153.09,62.76,0,5.06,83
1184,mazamari,-11.33,-74.53,62.94,8,2.15,85
1187,nadym,65.53,72.51,60.96,64,10.54,100
1188,erzin,36.95,36.2,77,0,11.41,83
1191,phuket,7.89,98.4,79.41,75,11.41,83
1192,hays,38.88,-99.33,81.9,1,9.17,51
1194,darab,28.75,54.55,68.7,0,3.15,21
1198,upington,-28.46,21.24,51.8,75,3.36,66
1200,plettenberg bay,-34.05,23.37,65.82,0,8.75,87
1201,songjianghe,42.18,127.48,71.67,24,4.05,84
1204,rani,26.42,87.27,81.48,36,10.2,94
1205,prince rupert,54.32,-130.32,62.6,1,5.82,82
1207,waddan,29.16,16.14,63.57,0,2.71,68
1208,avera,33.19,-82.53,74.82,1,2.59,94
1213,makakilo city,21.35,-158.09,82,40,17.22,51
1215,strezhevoy,60.73,77.6,69.8,0,11.18,73
1221,vostok,46.45,135.83,59.43,92,2.59,79
1226,aitape,-3.15,142.36,82.11,76,3.27,94
1227,kongolo,-5.39,27,68.34,0,2.82,60
1239,bandarbeyla,9.49,50.81,80.13,0,23.51,77
1242,batemans bay,-35.71,150.18,57.36,0,7.74,74
1246,bonavista,48.65,-53.11,61.23,64,17.02,62
1248,vestmanna,62.16,-7.17,50,76,5.82,93
1250,lubao,14.94,120.6,83.07,90,12.75,88
1257,kitimat,54.02,-128.69,68,90,5.82,56
1260,portland,45.52,-122.67,74.46,20,13.87,42
1262,vershino-darasunskiy,52.35,115.52,55.11,64,10.2,78
1267,katherine,-14.47,132.26,78.8,0,14.99,21
1270,yerbogachen,61.28,108.01,51.78,92,8.52,97
1274,wasilla,61.58,-149.44,59.54,90,4.7,82
1276,umm lajj,25.02,37.27,76.17,0,6.29,100
1279,constitucion,23.99,-104.67,64.4,75,3.36,72
1282,concepcion del uruguay,-32.48,-58.24,46.11,0,8.97,89
1288,tanout,14.97,8.88,79.86,44,5.28,53
1292,mundi,32.37,76.01,72.03,0,1.14,61
1293,hadzici,43.82,18.21,67.19,75,2.24,93
1297,zhigansk,66.77,123.37,60.33,48,11.32,62
1298,aberystwyth,52.41,-4.08,59.61,0,4.72,87
1299,valparaiso,41.47,-87.06,71.26,1,4.7,82
1301,telimele,10.9,-13.03,70.41,92,2.93,98
1304,lawton,34.61,-98.39,83.7,1,10.29,51
1306,rapar,23.57,70.65,86.61,8,10.09,71
1308,duncan,34.5,-97.96,82.31,1,6.93,58
1309,patterson,29.69,-91.3,77.16,1,6.62,94
